Sub ID,Lorax,Lost,Mad Men,Pony,Walking Dead,Weeds,Grand Total
1,8.1,54.9,34.2,2.1,122,11.1,232.4
2,3,75.15,8.1,2.1,142,3,233.35
3,5.1,67.05,22.05,2.1,129.2,6.9,232.4
4,6,54,12.15,6,118.8,5.1,202.05
5,5.1,54,12.15,3.9,118.8,5.1,199.05
6,2.1,57.15,30.15,2.1,127.2,9.9,228.6
7,5.1,46.8,19.8,2.1,116,6.9,196.7
8,5.1,54.9,4.05,8.1,125.2,2.1,199.45
9,3,36,0,3.9,110.8,5.1,158.8
10,2.1,49.05,36,3,110.8,14.1,215.05
11,3.9,58.05,9.9,2.1,124,6,203.95
12,3,34.2,9.9,5.1,108.8,6.9,167.9
13,6,58.95,1.8,3.9,128.8,2.1,201.55
14,6,57.15,9.9,9,128.8,3,213.85
15,3,77.85,16.2,5.1,136,6,244.15
16,6.9,34.2,5.85,6,106,6,164.95
17,3,59.85,0,3,126,3,194.85
18,3,79.2,18,3.9,144.8,9,257.9
19,0.9,55.8,0,0.9,124.8,3.9,186.3
20,3,40.05,40.05,3.9,103.2,15,205.2
21,3,72.9,4.05,3.9,138,3,224.85
22,3.9,52.2,0,3,120.8,0.9,180.8
23,2.1,49.05,0,3.9,118,2.1,175.15
24,3.9,40.95,19.8,3.9,108.8,6.9,184.25
25,0,57.15,19.8,0.9,125.2,6.9,209.95
26,3.9,52.2,1.8,6,119.2,2.1,185.2
27,3,67.95,0,3.9,135.2,0.9,210.95
28,3,44.1,12.15,3,112.8,5.1,180.15
29,3,63.9,0,3,128,0.9,198.8
30,3,48.15,1.8,6,115.2,3.9,178.05
31,3,53.1,5.85,2.1,126,3.9,193.95
32,3.9,48.15,0,6.9,121.2,0.9,181.05
33,2.1,35.1,23.85,3,109.2,9,182.25
34,5.1,40.95,1.8,6,115.2,3.9,172.95
35,3,36,30.15,5.1,106.8,11.1,192.15
36,2.1,49.05,4.05,2.1,116,5.1,178.4
37,5.1,73.8,26.1,5.1,136,9.9,256
38,5.1,66.15,13.95,3,135.2,6,229.4
39,3.9,49.05,23.85,3,115.2,8.1,203.1
40,2.1,57.15,0,3.9,129.2,0.9,193.25
41,5.1,34.2,23.85,2.1,101.2,9.9,176.35
42,3.9,49.05,23.85,6,120.8,11.1,214.7
43,6.9,61.2,34.2,5.1,128,12.9,248.3
44,6,50.85,0,9,115.2,0.9,181.95
45,3.9,35.1,5.85,3,112,3,162.85
46,3,45.9,5.85,3,117.2,3.9,178.85
47,3.9,30.15,31.95,5.1,100,15,186.1
48,3.9,34.2,22.05,3,106.8,6.9,176.85
49,0.9,31.05,5.85,3,106.8,5.1,152.7
50,3,54.9,26.1,3.9,126,12.9,226.8
51,0.9,81.9,0,0.9,144,3.9,231.6
52,3,40.05,0,3.9,114,0.9,161.85
53,8.1,49.95,1.8,6,118,5.1,188.95
54,3.9,40.95,18,3.9,112.8,9,188.55
55,2.1,54.9,13.95,3,120.8,6,200.75
56,5.1,39.15,23.85,6.9,110,9.9,194.9
57,3,43.2,26.1,3.9,115.2,9.9,201.3
58,3,36,12.15,3,105.2,6,165.35
59,3,37.8,22.05,0.9,105.2,9,177.95
60,2.1,59.85,16.2,2.1,127.2,6,213.45
61,3,72,13.95,3,136.8,6.9,235.65
62,6.9,54.9,0,8.1,123.2,2.1,195.2
63,3,36,16.2,3.9,108,6.9,174
64,3,59.85,18,6.9,122,6.9,216.65
65,6.9,54,0,6.9,119.2,0.9,187.9
66,3,44.1,23.85,3,116,12,201.95
67,2.1,66.15,0,3,130.8,3,205.05
68,3.9,40.05,19.8,5.1,114,9,191.85
69,2.1,50.85,8.1,3.9,123.2,6.9,195.05
70,3,48.15,0,3,120.8,2.1,177.05
71,5.1,52.2,40.05,5.1,116,15,233.45
72,2.1,55.8,23.85,3,124.8,9,218.55
73,5.1,55.8,8.1,3.9,121.2,3,197.1
74,3.9,36.9,22.05,2.1,108.8,6.9,180.65
75,3.9,62.1,0,2.1,130,0,198.1
76,3,59.85,0,3,128.8,0.9,195.55
77,3,44.1,26.1,2.1,107.2,12.9,195.4
78,5.1,52.2,8.1,3,114.8,3,186.2
79,8.1,50.85,12.15,9.9,120.8,5.1,206.9
80,3,58.95,0,3.9,125.2,3.9,194.95
81,3,55.8,18,2.1,121.2,5.1,205.2
82,3.9,44.1,4.05,3.9,114,0.9,170.85
83,3.9,53.1,8.1,3.9,122.8,2.1,193.9
84,2.1,63,13.95,3,126,5.1,213.15
85,3,71.1,4.05,3.9,138,2.1,222.15
86,2.1,54.9,13.95,3,124.8,6.9,205.65
87,0.9,58.05,4.05,0.9,120.8,0.9,185.6
88,9,52.2,27.9,5.1,116,11.1,221.3
89,5.1,45,22.05,6,111.2,9,198.35
90,3.9,82.8,0,5.1,147.2,0.9,239.9
91,3,44.1,1.8,3,113.2,2.1,167.2
92,3.9,44.1,34.2,3.9,114.8,12.9,213.8
93,5.1,57.15,5.85,9,129.2,3.9,210.2
94,3.9,40.95,1.8,6.9,112.8,5.1,171.45
95,3.9,64.8,22.05,2.1,128.8,9.9,231.55
96,2.1,40.05,18,5.1,108,6,179.25
97,3,72.9,0,2.1,132.8,5.1,215.9
98,0.9,49.05,4.05,3,123.2,5.1,185.3
99,5.1,40.95,12.15,8.1,115.2,3.9,185.4
100,3,49.05,30.15,3,122,12.9,220.1
101,6.9,58.95,5.85,3.9,126,3,204.6
102,3,50.85,18,3.9,117.2,6.9,199.85
103,3.9,49.95,16.2,5.1,114.8,8.1,198.05
104,6,31.05,27.9,6.9,100,9,180.85
105,5.1,49.95,0,5.1,121.2,5.1,186.45
106,3.9,63.9,19.8,6,131.2,9.9,234.7
107,2.1,31.95,23.85,0,102.8,9.9,170.6
108,3,61.2,0,6,127.2,3.9,201.3
109,5.1,53.1,4.05,2.1,122.8,3,190.15
110,6,40.05,12.15,3.9,111.2,6.9,180.2
111,5.1,55.8,9.9,3.9,126,3.9,204.6
112,3,54,31.95,3,118,15.9,225.85
113,0,46.8,9.9,0.9,115.2,6,178.8
114,2.1,54.9,5.85,3.9,122.8,2.1,191.65
115,6,58.95,18,5.1,129.2,6,223.25
116,5.1,46.8,16.2,6,120.8,6,200.9
117,3,41.85,18,5.1,113.2,6.9,188.05
118,5.1,36.9,16.2,3.9,101.2,6,169.3
119,0.9,58.95,13.95,0,128,6,207.8
120,3.9,77.85,0,3.9,144.8,2.1,232.55
121,0.9,63.9,0,2.1,132,3.9,202.8
122,3,63.9,23.85,3,128.8,9.9,232.45
123,6,40.95,4.05,5.1,117.2,3,176.3
124,3.9,67.05,12.15,2.1,132.8,5.1,223.1
125,6,36.9,4.05,6,112,3.9,168.85
126,3,52.2,4.05,2.1,117.2,3.9,182.45
127,2.1,54,18,3,118,6.9,202
128,3.9,49.95,5.85,3,120,3,185.7
129,6,50.85,0,8.1,120.8,2.1,187.85
130,3,49.05,22.05,3.9,116.8,8.1,202.9
131,0.9,54.9,13.95,3,120.8,3.9,197.45
132,2.1,57.15,22.05,3,123.2,9.9,217.4
133,3,32.85,41.85,3,102,12,194.7
134,5.1,55.8,18,5.1,122.8,5.1,211.9
135,6,63.9,8.1,8.1,129.2,3.9,219.2
136,3,77.85,19.8,0.9,141.2,6.9,249.65
137,6,54,18,5.1,122.8,6,211.9
138,3,59.85,18,2.1,122.8,6,211.75
139,3.9,40.05,27.9,3,112.8,11.1,198.75
140,3,40.95,5.85,3.9,110,5.1,168.8
141,2.1,34.2,18,3,106,6.9,170.2
142,2.1,66.15,8.1,0.9,127.2,3,207.45
143,6,61.2,23.85,9,126,9,235.05
144,2.1,53.1,18,5.1,118.8,9.9,207
145,6,72,13.95,9.9,138,6.9,246.75
146,6.9,32.85,27.9,9.9,104.8,11.1,193.45
147,5.1,30.15,27.9,3.9,98.8,9,174.85
148,3.9,40.95,5.85,2.1,109.2,3,165
149,3,36.9,22.05,3.9,107.2,8.1,181.15
150,3.9,35.1,9.9,3.9,108.8,6,167.6
151,3.9,57.15,16.2,5.1,124.8,5.1,212.25
152,3.9,37.8,16.2,3.9,105.2,6,173
153,5.1,57.15,4.05,6.9,122.8,3,199
154,3,50.85,23.85,3.9,118.8,8.1,208.5
155,3.9,64.8,41.85,3,121.2,12.9,247.65
156,0.9,63,27.9,3,126,9,229.8
157,6.9,52.2,26.1,3.9,118,9,216.1
158,5.1,46.8,8.1,6,118.8,5.1,189.9
159,3.9,63.9,27.9,3.9,127.2,11.1,237.9
160,3.9,67.95,0,6,134,0.9,212.75
161,5.1,63,0,6,125.2,3,202.3
162,6,52.2,12.15,6,119.2,6,201.55
163,5.1,57.15,31.95,3.9,118.8,11.1,228
164,3,48.15,12.15,0.9,116.8,6.9,187.9
165,6,50.85,19.8,6,120.8,6,209.45
166,2.1,49.95,22.05,3.9,117.2,9,204.2
167,6.9,79.2,0,9.9,140.8,0,236.8
168,9,50.85,0,6.9,119.2,2.1,188.05
169,3,45,13.95,5.1,116,6.9,189.95
170,3.9,35.1,23.85,3,106,8.1,179.95
171,5.1,18,0,9.9,97.2,2.1,132.3
172,2.1,48.15,1.8,0.9,114,5.1,172.05
173,5.1,48.15,26.1,3.9,112,9,204.25
174,2.1,55.8,9.9,2.1,120.8,5.1,195.8
175,3.9,52.2,31.95,3.9,117.2,12,221.15
176,0.9,49.05,12.15,3,119.2,5.1,189.4
177,3,61.2,45.9,3.9,122,15.9,251.9
178,0.9,34.2,12.15,0.9,106.8,6.9,161.85
179,2.1,59.85,1.8,2.1,123.2,3,192.05
180,5.1,54,9.9,6,118,3.9,196.9
181,2.1,45.9,5.85,0.9,115.2,5.1,175.05
182,2.1,57.15,0,3,121.2,3,186.45
183,2.1,53.1,8.1,2.1,126.8,3.9,196.1
184,3.9,54,5.85,5.1,124.8,5.1,198.75
185,5.1,58.05,4.05,3.9,123.2,3.9,198.2
186,3,41.85,27.9,5.1,110,11.1,198.95
187,3.9,52.2,9.9,3.9,122,9,200.9
188,2.1,37.8,26.1,3.9,110.8,8.1,188.8
189,3,40.05,0,5.1,116,0.9,165.05
190,5.1,44.1,8.1,5.1,115.2,5.1,182.7
191,3,49.95,0,3,126,2.1,184.05
192,3.9,46.8,0,3.9,116,0.9,171.5
193,0.9,45,27.9,0,116,9,198.8
194,2.1,49.05,13.95,5.1,120,8.1,198.3
195,3.9,49.05,30.15,3,112,12.9,211
196,3,53.1,31.95,3,119.2,12,222.25
197,3.9,54.9,5.85,3,120.8,6,194.45
198,3.9,44.1,26.1,2.1,111.2,11.1,198.5
199,2.1,50.85,12.15,0.9,116,3.9,185.9
200,5.1,48.15,0,8.1,118.8,3,183.15
201,5.1,52.2,9.9,6.9,126,6,206.1
202,3,31.05,13.95,6.9,106,6,166.9
203,6,54.9,8.1,6,126,5.1,206.1
204,0.9,53.1,22.05,3,117.2,9,205.25
205,2.1,67.95,4.05,3.9,134,3,215
206,3.9,61.2,1.8,6.9,122,0,195.8
207,3,35.1,34.2,6,106.8,12,197.1
208,5.1,30.15,12.15,5.1,107.2,8.1,167.8
209,3,36,8.1,0,108.8,5.1,161
210,3,41.85,18,6,108,9,185.85
211,8.1,70.2,18,8.1,134.8,11.1,250.3
212,3.9,64.8,31.95,6.9,131.2,12,250.75
213,6,58.05,12.15,5.1,125.2,6.9,213.4
214,2.1,81.9,8.1,3.9,148.8,3,247.8
215,3,63.9,0,2.1,126.8,0,195.8
216,3.9,40.95,9.9,5.1,113.2,5.1,178.15
217,6,37.8,22.05,6.9,112.8,6.9,192.45
218,3.9,40.95,12.15,3,118,6.9,184.9
219,5.1,45.9,19.8,3.9,116.8,8.1,199.6
220,5.1,0.9,22.05,3.9,78,9,118.95
221,3.9,50.85,34.2,6,115.2,12.9,223.05
222,2.1,72,8.1,2.1,142,5.1,231.4
223,3.9,73.8,23.85,6,132.8,9,249.35
224,2.1,67.95,9.9,2.1,132.8,5.1,219.95
225,6,71.1,0,6,134.8,0,217.9
226,3,52.2,9.9,6,114.8,9,194.9
227,3.9,54.9,19.8,3,121.2,6.9,209.7
228,2.1,46.8,18,5.1,116,6,194
229,3.9,53.1,13.95,2.1,122.8,3.9,199.75
230,3.9,57.15,8.1,3.9,122.8,2.1,197.95
231,3.9,36,52.2,3.9,101.2,17.1,214.3
